OrderID,LineNumber,ProductID,Quantity,UnitPrice,LineNetAmount
ORD-2024-024395,1,PROD-024,1,8.73,6.38
ORD-2024-024395,2,PROD-028,2,17.18,30.78
ORD-2024-024396,1,PROD-032,2,19.72,37.82
ORD-2024-024397,1,PROD-024,2,8.73,16.84
ORD-2024-024398,1,PROD-021,2,15.49,19.05
ORD-2024-024398,2,PROD-022,1,9.01,6.03
ORD-2024-024399,1,PROD-045,1,72.68,49.75
ORD-2024-024400,1,PROD-006,1,32.39,29.68
ORD-2024-024401,1,PROD-060,1,42.25,19.57
ORD-2024-024401,2,PROD-015,1,26.76,14.82
ORD-2024-024402,1,PROD-024,1,8.73,3.93
ORD-2024-024403,1,PROD-055,1,74.65,44.33
ORD-2024-024404,1,PROD-028,2,17.18,29.77
ORD-2024-024404,2,PROD-034,3,9.01,25.73
ORD-2024-024404,3,PROD-035,3,10.14,27.17
ORD-2024-024405,1,PROD-037,2,9.86,16.41
ORD-2024-024405,2,PROD-034,2,9.01,16.32
ORD-2024-024406,1,PROD-002,1,11.9,8.61
ORD-2024-024407,1,PROD-003,1,14.37,9.41
ORD-2024-024408,1,PROD-010,3,38.03,85.98
ORD-2024-024409,1,PROD-006,1,32.39,22.79
ORD-2024-024410,1,PROD-003,2,14.37,27.82
ORD-2024-024411,1,PROD-042,1,73.24,42.32
ORD-2024-024412,1,PROD-004,2,20.28,36.9
ORD-2024-024412,2,PROD-006,1,32.39,27.78
ORD-2024-024413,1,PROD-029,2,24.79,48.82
ORD-2024-024413,2,PROD-033,4,52.11,205.02
ORD-2024-024414,1,PROD-027,2,21.13,34.39
ORD-2024-024415,1,PROD-060,1,42.25,19.01
ORD-2024-024415,2,PROD-035,1,10.14,7.05
ORD-2024-024416,1,PROD-041,1,11.83,8.04
ORD-2024-024417,1,PROD-010,2,38.03,67.97
ORD-2024-024418,1,PROD-004,3,20.28,29.32
ORD-2024-024419,1,PROD-040,1,15.21,12.34
ORD-2024-024419,2,PROD-034,3,9.01,24.15
ORD-2024-024420,1,PROD-048,1,55.77,25.1
ORD-2024-024420,2,PROD-028,1,17.18,10.83
ORD-2024-024421,1,PROD-058,1,39.44,20.77
ORD-2024-024422,1,PROD-060,1,42.25,31.91
ORD-2024-024423,1,PROD-038,1,7.89,6.18
ORD-2024-024424,1,PROD-008,3,9.9,28.47
ORD-2024-024425,1,PROD-004,1,20.28,18.84
ORD-2024-024426,1,PROD-039,4,8.17,15.02
ORD-2024-024427,1,PROD-006,1,32.39,32.1
ORD-2024-024428,1,PROD-040,4,15.21,59.76
ORD-2024-024429,1,PROD-001,1,12.9,12.67
ORD-2024-024430,1,PROD-027,1,21.13,9.51
ORD-2024-024430,2,PROD-059,1,52.11,36.7
ORD-2024-024431,1,PROD-001,1,12.9,11.97
ORD-2024-024431,2,PROD-040,1,15.21,11.02
ORD-2024-024432,1,PROD-040,1,15.21,14.39
