OrderID,CustomerID,OrderDate,OrderDiscountPct,BasketItemCount
ORD-2024-008974,CUST-06423,2024-03-29,0.2434,1
ORD-2024-008975,CUST-06424,2024-03-31,0.0922,1
ORD-2024-008976,CUST-06425,2024-03-25,0.3162,1
ORD-2024-008977,CUST-06426,2024-03-25,0.0048,1
ORD-2024-008978,CUST-06427,2024-03-31,0.0294,1
ORD-2024-008979,CUST-06428,2024-03-29,0.0331,1
ORD-2024-008980,CUST-06429,2024-03-29,0.1372,1
ORD-2024-008981,CUST-06430,2024-03-15,0.1734,3
ORD-2024-008982,CUST-06431,2024-03-27,0.0485,1
ORD-2024-008983,CUST-06432,2024-03-23,0.1381,3
ORD-2024-008984,CUST-06433,2024-03-15,0.3059,2
ORD-2024-008985,CUST-06434,2024-03-09,0.55,2
ORD-2024-008986,CUST-06435,2024-03-15,0.2372,2
ORD-2024-008987,CUST-06436,2024-03-15,0.55,1
ORD-2024-008988,CUST-06437,2024-03-17,0.3334,2
ORD-2024-008989,CUST-06438,2024-03-28,0.2025,2
ORD-2024-008990,CUST-06439,2024-03-15,0.5448,1
ORD-2024-008991,CUST-06440,2024-03-29,0.2254,1
ORD-2024-008992,CUST-06441,2024-03-27,0.1437,3
ORD-2024-008993,CUST-06442,2024-03-30,0.1108,1
ORD-2024-008994,CUST-06443,2024-03-25,0.2968,2
ORD-2024-008995,CUST-06444,2024-03-30,0.0159,1
ORD-2024-008996,CUST-06445,2024-03-20,0.0354,1
ORD-2024-008997,CUST-06446,2024-03-27,0.16,5
ORD-2024-008998,CUST-06447,2024-03-21,0.55,1
ORD-2024-008999,CUST-06448,2024-03-31,0.55,2
ORD-2024-009000,CUST-06449,2024-03-19,0.1201,1
ORD-2024-009001,CUST-06450,2024-03-07,0.2407,1
ORD-2024-009002,CUST-06451,2024-03-25,0.1619,3
ORD-2024-009003,CUST-06452,2024-03-27,0.1863,2
ORD-2024-009004,CUST-06453,2024-03-23,0.1121,1
ORD-2024-009005,CUST-06454,2024-03-20,0.1433,2
ORD-2024-009006,CUST-06455,2024-03-26,0.0291,2
ORD-2024-009007,CUST-06456,2024-03-29,0.1031,1
ORD-2024-009008,CUST-06457,2024-03-25,0.0317,1
ORD-2024-009009,CUST-06458,2024-03-24,0.0153,1
ORD-2024-009010,CUST-06459,2024-03-31,0.2149,3
ORD-2024-009011,CUST-06460,2024-03-11,0.2645,1
ORD-2024-009012,CUST-06461,2024-03-31,0.2043,1
ORD-2024-009013,CUST-06462,2024-03-29,0.55,1
ORD-2024-009014,CUST-06463,2024-03-31,0.1678,1
ORD-2024-009015,CUST-06464,2024-03-22,0.1057,2
ORD-2024-009016,CUST-06465,2024-03-24,0.1801,3
ORD-2024-009017,CUST-06466,2024-03-30,0.3122,1
ORD-2024-009018,CUST-06467,2024-03-31,0.0872,2
ORD-2024-009019,CUST-06468,2024-03-06,0.0617,1
ORD-2024-009020,CUST-06469,2024-03-13,0.5143,1
ORD-2024-009021,CUST-06470,2024-03-29,0.3864,2
ORD-2024-009022,CUST-06471,2024-03-24,0.1834,2
ORD-2024-009023,CUST-06472,2024-03-29,0.0564,1
ORD-2024-009024,CUST-06473,2024-03-24,0.0508,3
ORD-2024-009025,CUST-06474,2024-03-31,0.2138,1
ORD-2024-009026,CUST-06475,2024-03-06,0.0791,1
ORD-2024-009027,CUST-06476,2024-03-26,0.2242,2
ORD-2024-009028,CUST-06477,2024-03-28,0.3866,1
ORD-2024-009029,CUST-06478,2024-03-27,0.31,1
ORD-2024-009030,CUST-06479,2024-03-10,0.3302,1
ORD-2024-009031,CUST-06480,2024-03-28,0.0642,1
ORD-2024-009032,CUST-06481,2024-03-14,0.1441,2
ORD-2024-009033,CUST-06482,2024-03-31,0.4612,1
ORD-2024-009034,CUST-06483,,0.3449,2
ORD-2024-009035,CUST-06484,2024-03-10,0.2676,1
ORD-2024-009036,CUST-06485,2024-03-17,0.55,1
ORD-2024-009037,CUST-06486,2024-03-17,0.0383,2
ORD-2024-009038,CUST-06487,2024-03-27,0.0501,2
ORD-2024-009039,CUST-06488,2024-03-29,0.3107,1
ORD-2024-009040,CUST-06489,2024-03-31,0.1216,3
ORD-2024-009041,CUST-06490,2024-03-05,0.0199,3
ORD-2024-009042,CUST-06491,2024-03-10,0.2012,1
ORD-2024-009043,CUST-06492,2024-03-04,0.1504,1
ORD-2024-009044,CUST-06493,2024-03-26,0.4425,1
ORD-2024-009045,CUST-06494,2024-03-25,0.2174,1
ORD-2024-009046,CUST-06495,2024-03-30,0.1587,2
ORD-2024-009047,CUST-06496,2024-03-31,0.0687,1
ORD-2024-009048,CUST-06497,2024-03-28,0.0166,2
ORD-2024-009049,CUST-06498,2024-03-29,0.1375,1
ORD-2024-009050,CUST-06499,2024-03-25,0.2418,1
ORD-2024-009051,CUST-06500,2024-03-29,0.0741,3
ORD-2024-009052,CUST-06501,2024-03-26,0.3491,2
ORD-2024-009053,CUST-06502,2024-03-15,0.0362,1
ORD-2024-009054,CUST-06503,2024-03-17,0.0228,3
ORD-2024-009055,CUST-06504,2024-03-19,0.5389,2
ORD-2024-009056,CUST-06505,2024-03-26,0.329,1
ORD-2024-009057,CUST-06506,2024-03-17,0.0274,1
ORD-2024-009058,CUST-06507,2024-03-25,0.55,1
ORD-2024-009059,CUST-06508,2024-03-13,0.0814,2
ORD-2024-009060,CUST-06509,2024-03-15,0.3005,1
ORD-2024-009061,CUST-06510,2024-03-11,0.387,1
ORD-2024-009062,CUST-06511,2024-03-25,0.2744,2
ORD-2024-009063,CUST-06512,2024-03-28,0.0432,3
ORD-2024-009064,CUST-06513,2024-03-20,0.0049,1
ORD-2024-009065,CUST-06514,2024-03-23,0.0207,1
ORD-2024-009066,CUST-06515,2024-03-20,0.1406,1
ORD-2024-009067,CUST-06516,2024-03-29,0.2394,1
